ICAO,IATA,Name,Municipality,Country,
EGPH,EDI,Edinburgh Airport,Edinburgh,United Kingdom,"55.94779608042485, -3.363846419406774"
EHEH,EIN,Eindhoven Airport,Eindhoven,The Netherlands,"51.506144992654804, 5.882071661092311"
LGAV,ATH,"Athens International Airport ""Eleftherios Venizelos""",Athens,Greece,"37.935663603434406, 23.948361954566785"
LFSB,BSL,EuroAirport Basel-Mulhouse-Freiburg Airport,Bâle/Mulhouse,France,"47.59826715562872, 7.528870307024248"
EGTE,EXT,Exeter International Airport,Exeter,United Kingdom,"50.73505436023673, -3.415383745220825"
LICJ,PMO,Falcone–Borsellino Airport,Palermo,Italy,"38.17956264708386, 13.09890665457034"
LPFR,FAO,Faro Airport,Faro,Portugal,"37.248883656173966, -8.22302945822635"
LPPR,OPO,Francisco de Sá Carneiro Airport,Porto,Portugal,"41.24213471395595, -8.678605045384433"
EDDF,FRA,Frankfurt am Main Airport,Frankfurt am Main,Germany,"50.03794636126047, 8.562098154766105"
EPGD,GDN,Gdańsk Lech Wałęsa Airport,Gdańsk,Poland,"54.378855777653285, 18.468021354850663"
LSGG,GVA,Geneva Airport,Geneva,Switzerland,"46.23011986286216, 6.097686068604918"
LIMJ,GOA,Genoa Cristoforo Colombo Airport,Genova,Italy,"44.413407406513514, 8.844640754666408"
EGAC,BHD,George Best Belfast City Airport,Belfast,United Kingdom,"54.61571535549519, -5.872241395144555"
EGPF,GLA,Glasgow International Airport,Glasgow,United Kingdom,"55.86697232083509, -4.433511095118903"
ESGG,GOT,Gothenburg-Landvetter Airport,Gothenburg,Sweden,"57.722458204267845, 12.07750490573221"
GCLP,LPA,Gran Canaria Airport,Gran Canaria Island,Spain,"27.926632464271584, -15.400335647590154"
URMG,GRV,Grozny North Airport,Grozny,Russia,"43.3847664736559, 45.699791054649424"
EDDH,HAM,Hamburg Airport,Hamburg,Germany,"53.590662812933694, 9.919215232823092"
EDDV,HAJ,Hannover Airport,Hannover,Germany,"52.46094492371912, 9.694012605845677"
EFHK,HEL,Helsinki Vantaa Airport,Helsinki,Finland,"60.3071644313828, 24.965821986614984"
LROP,OTP,Bucharest Henri Coandă International Airport,Bucharest,Romania,"44.570745865216615, 26.08435865466908"
LGIR,HER,Heraklion International Nikos Kazantzakis Airport,Heraklion,Greece,"35.33959728411905, 25.174694654531816"
LPPT,LIS,Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,Portugal,"38.77561030809435, -9.135420345421204"
LIME,BGY,Il Caravaggio International Airport,Bergamo,Italy,"45.664494258190885, 9.702143856888586"
LPPD,PDL,João Paulo II Airport,Ponta Delgada,Portugal,"37.74936304627215, -25.710438545435725"
EDSB,FKB,Karlsruhe Baden-Baden Airport,Baden-Baden,Germany,"48.77805556940836, 8.085756004742693"
EPKT,KTW,Katowice International Airport,Katowice,Poland,"50.35623066400626, 19.057048337552363"
UWKD,KZN,Kazan International Airport,Kazan,Russia,"55.60829550083108, 49.28035765487581"
BIKF,KEF,Keflavik International Airport,Reykjavík,Iceland,"63.99014262366755, -22.630619108023982"
UKHH,HRK,Kharkiv International Airport,Kharkiv,Ukraine,"49.92184379454466, 36.27993435476391"
EPKK,KRK,Kraków John Paul II International Airport,Kraków,Poland,"50.07699135005442, 19.788065154766848"
UWWW,KUF,Kurumoch International Airport,Samara,Russia,"48.70119683684698, 101.60241402961334"
GCLA,SPC,La Palma Airport,"Sta Cruz de la Palma, La Palma Island",Spain,"28.623639567657143, -17.75387734554549"
LPLA,TER,Lajes Airport,Praia da Vitória,Portugal,"38.753943263178456, -27.087199895421612"
EGNM,LBA,Leeds Bradford Airport,Leeds,United Kingdom,"53.870585239559176, -1.6626091221427792"
EDDP,LEJ,Leipzig/Halle Airport,Leipzig,Germany,"51.41858396118783, 12.233986654792153"
EETN,TLL,Tallinn Airport,Tallinn,Estonia,"59.41620609931135, 24.800351754956658"
LIRF,FCO,"Rome–Fiumicino International Airport ""Leonardo da Vinci""",Rome,Italy,"41.80344337455219, 12.251839154624257"
EBLG,LGG,Liège Airport,Liège,Belgium,"50.64276690193004, 5.456458905282762"
EGGP,LPL,Liverpool John Lennon Airport,Liverpool,United Kingdom,"53.34159115802105, -2.8669406228251324"
LJLJ,LJU,Ljubljana Jože Pučnik Airport,Ljubljana,Slovenia,"46.225958123884304, 14.45586065469733"
EGKK,LGW,London Gatwick Airport,London,United Kingdom,"51.15367553855732, -0.18211654521283668"
EGLL,LHR,London Heathrow Airport,London,United Kingdom,"51.47003564612787, -0.4543491452067488"
EGGW,LTN,London Luton Airport,London,United Kingdom,"51.67724774606474, -0.4183907875068559"
EGSS,STN,London Stansted Airport,London,United Kingdom,"51.71022079697456, -0.01212257520683076"
ESPA,LLA,Luleå Airport,Luleå,Sweden,"65.54669757773556, 22.123578360389992"
ELLX,LUX,Luxembourg-Findel International Airport,Luxembourg,Luxembourg,"49.6289140782703, 6.214690954758389"
LFLL,LYS,Lyon Saint-Exupéry Airport,Lyon,France,"45.723433059192566, 5.088723154688574"
LZIB,BTS,Bratislava Airport,Bratislava,Slovakia,"48.16746661121296, 17.197241220824655"
LEMG,AGP,Málaga Airport,Málaga,Spain,"36.71355223280467, -4.452705769167766"
ESMS,MMX,Malmö Airport,Malmö,Sweden,"55.535545723284976, 13.372329354874266"
LIMC,MXP,Malpensa International Airport,Milan,Italy,"45.61608144279999, 8.73323322735553"
LMML,MLA,Malta International Airport,Valletta,Malta,"35.8528704721106, 14.486657754538358"
EGCC,MAN,Manchester Airport,Manchester,United Kingdom,"42.929702690247844, -71.43527134535792"
LFML,MRS,Marseille Provence Airport,Marseille,France,"43.43843905983967, 5.2143603546503385"
LIML,LIN,Milano Linate Airport,Milan,Italy,"45.45335123144137, 9.276229054683874"
UMMS,MSQ,Minsk National Airport,Minsk,Belarus,"53.88966632600867, 28.03414815484069"
EPMO,WMI,Modlin Airport,Warsaw,Poland,"52.443305059929926, 20.66352755861821"
EDDM,MUC,Munich Airport,Munich,Germany,"48.35098263927799, 11.776381054734927"
EDDG,FMO,Münster Osnabrück Airport,Münster,Germany,"52.08995226255306, 8.018845314072575"
