ICAO,IATA,Name,Municipality,Country,"Lat, Long"
KCOS,COS,City of Colorado Springs Municipal Airport,Colorado Springs,United States,"38.80175378551682, -104.70256098589124"
KCLE,CLE,Cleveland Hopkins International Airport,Cleveland,United States,"41.40586285603667, -81.85385617236224"
KCAE,CAE,Columbia Metropolitan Airport,Columbia,United States,"33.9419525833732, -81.12205514548597"
KCRP,CRP,Corpus Christi International Airport,Corpus Christi,United States,"27.77244246862915, -97.50219363020733"
KDFW,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,"32.85836690943719, -97.03676510302135"
KDAL,DAL,Dallas Love Field Airport,Dallas,United States,"32.84797669300438, -96.85119557247945"
KMSN,MSN,Dane County Regional Truax Field,Madison,United States,"43.13910502308746, -89.33656300488406"
PHNL,HNL,Daniel K. Inouye International Airport,Honolulu,United States,"21.318687664613307, -157.92530310142337"
MRLB,LIR,Daniel Oduber Quiros International Airport,Liberia,Costa Rica,"10.594468645759083, -85.53878261105231"
KDAB,DAB,Daytona Beach International Airport,Daytona Beach,United States,"29.18043045770366, -81.05732750866102"
KDEN,DEN,Denver International Airport,Denver,United States,"39.85608804337609, -104.67400582213774"
KDSM,DSM,Des Moines International Airport,Des Moines,United States,"41.53405928370767, -93.6587565764481"
KVPS,VPS,Destin-Ft Walton Beach Airport,Valparaiso,United States,"30.495546809151797, -86.55005657324982"
KDTW,DTW,Detroit Metropolitan Airport,Detroit,United States,"42.2163205924992, -83.35550367606223"
MMGL,GDL,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,Mexico,"20.526046515540713, -103.3077430186312"
KDBQ,DBQ,Dubuque Regional Airport,Dubuque,United States,"42.40167764991001, -90.7095770760593"
KDLH,DLH,Duluth International Airport,Duluth,United States,"46.838440070640736, -92.18009784534112"
CYEG,YEG,Edmonton International Airport,Edmonton,Canada,"53.3062945670192, -113.58292897591092"
KOMA,OMA,Eppley Airfield,Omaha,United States,"41.30146721926678, -95.89467090495991"
KERI,ERI,Erie International Tom Ridge Field,Erie,United States,"42.08801352161942, -80.1699152069175"
PAFA,FAI,Fairbanks International Airport,Fairbanks,United States,"64.81639802255916, -147.86353825846146"
KFLL,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,"26.074215109673343, -80.15063438794581"
KFSM,FSM,Fort Smith Regional Airport,Fort Smith,United States,"35.33760884524591, -94.3656657455173"
KFWA,FWA,Fort Wayne International Airport,Fort Wayne,United States,"40.97752007889988, -85.19615421845583"
KAFW,AFW,Fort Worth Alliance Airport,Fort Worth,United States,"32.98697018952845, -97.31412893205575"
KFTW,FTW,Fort Worth Meacham International Airport,Fort Worth,United States,"32.82064765051812, -97.35982815366982"
MMTJ,TIJ,General Abelardo L. Rodríguez International Airport,Tijuana,Mexico,"32.54231789150679, -116.97182914740648"
KBOS,BOS,Logan International Airport,Boston,United States,"42.36566866891037, -71.00971040494319"
MMHO,HMO,General Ignacio P. Garcia International Airport,Hermosillo,Mexico,"29.090014933180164, -111.05207176093519"
MMAA,ACA,General Juan N Alvarez International Airport,Acapulco,Mexico,"16.761607453463736, -99.75591113033536"
MMMY,MTY,General Mariano Escobedo International Airport,Monterrey,Mexico,"25.77788611186905, -100.10815696282137"
KMKE,MKE,General Mitchell International Airport,Milwaukee,United States,"42.947588910614236, -87.89730299034257"
KPIA,PIA,General Wayne A. Downing Peoria International Airport,Peoria,United States,"40.66559560794784, -89.6956636761333"
KIAH,IAH,George Bush Intercontinental Airport,Houston,United States,"29.990275636049244, -95.33693290510782"
KROC,ROC,Greater Rochester International Airport,Rochester,United States,"43.12254637186766, -77.66663657424009"
KGSP,GSP,Greenville Spartanburg International Airport,Greenville,United States,"34.89591837981371, -82.21736254737763"
KGPT,GPT,Gulfport Biloxi International Airport,Gulfport,United States,"30.413172739313897, -89.07295177812153"
CYHZ,YHZ,Halifax / Stanfield International Airport,Halifax,Canada,"44.8831425791005, -63.50998810119297"
KATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,United States,"33.64076390892562, -84.42770010135682"
KHSV,HSV,Huntsville International Carl T Jones Field,Huntsville,United States,"34.64035053445928, -86.7758079185445"
KIND,IND,Indianapolis International Airport,Indianapolis,United States,"39.71693355411668, -86.29567030312926"
KJAN,JAN,Jackson-Medgar Wiley Evers International Airport,Jackson,United States,"32.3123098881462, -90.07655044740919"
KJAX,JAX,Jacksonville International Airport,Jacksonville,United States,"30.494117505919313, -81.68801190324776"
KDAY,DAY,James M Cox Dayton International Airport,Dayton,United States,"39.902548870883464, -84.2217611724355"
KJFK,JFK,John F. Kennedy International Airport,New York,United States,"40.64134384357784, -73.77815975893351"
KCMH,CMH,John Glenn Columbus International Airport,Columbus,United States,"39.99996453573071, -82.8872088877796"
KSNA,SNA,John Wayne Airport-Orange County Airport,Santa Ana,United States,"33.676225794194124, -117.86758318972016"
KJLN,JLN,Joplin Regional Airport,Joplin,United States,"37.15765853431324, -94.50206510316579"
MUHA,HAV,José Martí International Airport,Havana,Cuba,"22.997804741618538, -82.40770683029821"
MUVR,VRA,Juan Gualberto Gomez International Airport,Varadero,Cuba,"23.034379898966076, -81.43771958797069"
KMCI,MCI,Kansas City International Airport,Kansas City,United States,"39.30356127357045, -94.70938834731719"
MGGT,GUA,La Aurora Airport,Guatemala City,Guatemala,"14.588237338659898, -90.53058088801679"
KLGA,LGA,La Guardia Airport,New York,United States,"40.77694332832164, -73.8739766300951"
KLFT,LFT,Lafayette Regional Airport,Lafayette,United States,"30.20493061503109, -91.98884365906906"
KLFI,LFI,Langley Air Force Base,Hampton,United States,"37.083524497911, -76.35921337247585"
MDSD,SDQ,Las Américas International Airport,Santo Domingo,Dominican Republic,"18.43023924455896, -69.6765390456236"
CYYZ,YYZ,Toronto Pearson International Airport,Toronto,Canada,"43.67841703231174, -79.62035064764132"
MMMX,MEX,Mexico City International Airport,Mexico City,Mexico,"19.436096421755046, -99.07196194561803"
MMPR,PVR,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,Mexico,"20.68056857375502, -105.25239765910071"
KLAX,LAX,Los Angeles International Airport,Los Angeles,United States,"33.94162448351055, -118.40854073013932"
MMSD,SJD,Los Cabos International Airport,San José del Cabo,Mexico,"23.1455555154237, -109.71832014559355"
KMSY,MSY,Louis Armstrong New Orleans International Airport,New Orleans,United States,"29.991109066460208, -90.25928354553136"
KSDF,SDF,Louisville International Airport,Louisville,United States,"38.18087845294173, -85.73914549358123"
KCHA,CHA,Lovell Field,Chattanooga,United States,"35.03746614939797, -85.19706484547213"
KLBB,LBB,Lubbock Preston Smith International Airport,Lubbock,United States,"33.65592754167138, -101.82164294548946"
TJSJ,SJU,Luis Munoz Marin International Airport,San Juan,Puerto Rico,"18.439526543453763, -65.99928614562356"
MYNN,NAS,Lynden Pindling International Airport,Nassau,Bahamas,"25.043948224266007, -77.46557484557842"
KMHT,MHT,Manchester-Boston Regional Airport,Manchester,United States,"42.92967126805849, -71.43540009139736"
KMBS,MBS,MBS International Airport,Saginaw,United States,"43.53864273400944, -84.08215604534796"
KLAS,LAS,McCarran International Airport,Las Vegas,United States,"36.08011656263358, -115.15036454149337"
KTYS,TYS,McGhee Tyson Airport,Knoxville,United States,"35.80861083182422, -83.99236679546209"
KMEM,MEM,Memphis International Airport,Memphis,United States,"35.04208544840336, -89.97922654547207"
KOAK,OAK,Metropolitan Oakland International Airport,Oakland,United States,"37.71258585470739, -122.21979644543619"
KMIA,MIA,Miami International Airport,Miami,United States,"25.79606702327537, -80.28171699415165"
KMSP,MSP,Minneapolis–Saint Paul International Airport,Minneapolis,United States,"44.88477058245146, -93.22233824532566"
KMOB,MOB,Mobile Regional Airport,Mobile,United States,"30.69250433351671, -88.24560254552382"
